,city,state,population_2018,population_2010,change,area_in_miles,area_in_kms,population_density_in_miles,population_density_in_kms,location,wiki_url,mayor,website
169,Macon,Georgia,153095.0,91351.0,67.59,249.3,645.7,612.0,236.0,32°48′32″N 83°41′39″W,"https://en.wikipedia.org/wiki/Macon,_Georgia",Robert Reichert,maconbibb.us
170,Kansas City,Kansas,152958.0,145786.0,4.92,124.8,323.2,1216.0,470.0,39°07′21″N 94°44′30″W,"https://en.wikipedia.org/wiki/Kansas_City,_Kansas",David Alvey,wycokck.org
171,Pomona,California,152361.0,149058.0,2.22,23.0,59.6,6630.0,2560.0,34°03′31″N 117°45′40″W,"https://en.wikipedia.org/wiki/Pomona,_California",,
172,Escondido,California,152213.0,143911.0,5.77,37.1,96.1,4087.0,1578.0,33°07′59″N 117°04′26″W,"https://en.wikipedia.org/wiki/Escondido,_California",Paul McNamara (D) ,
173,Killeen,Texas,149103.0,127921.0,16.56,53.5,138.6,2680.0,1030.0,31°04′40″N 97°43′55″W,"https://en.wikipedia.org/wiki/Killeen,_Texas",City Council,
174,Naperville,Illinois,148304.0,141853.0,4.55,38.7,100.2,3802.0,1468.0,41°44′57″N 88°09′43″W,"https://en.wikipedia.org/wiki/Naperville,_Illinois",,
175,Joliet,Illinois,148099.0,147433.0,0.45,64.4,166.8,2302.0,889.0,41°31′04″N 88°08′56″W,"https://en.wikipedia.org/wiki/Joliet,_Illinois",,www.cityofjoliet.info
176,Bellevue,Washington,147599.0,122363.0,20.62,33.5,86.8,4221.0,1630.0,47°35′52″N 122°09′23″W,"https://en.wikipedia.org/wiki/Bellevue,_Washington",John Chelminiak,www.bellevuewa.gov
177,Rockford,Illinois,146526.0,152871.0,4.15,63.5,164.5,2325.0,898.0,42°15′32″N 89°03′53″W,"https://en.wikipedia.org/wiki/Rockford,_Illinois",Thomas McNamara (D),
178,Savannah,Georgia,145862.0,136286.0,7.03,103.6,268.3,1417.0,547.0,32°00′09″N 81°09′13″W,"https://en.wikipedia.org/wiki/Savannah,_Georgia",Eddie DeLoach (,savannahga.gov
179,Paterson,New Jersey,145627.0,146199.0,0.39,8.4,21.8,17500.0,6800.0,40°54′53″N 74°09′46″W,"https://en.wikipedia.org/wiki/Paterson,_New_Jersey",Andre Sayegh,
180,Torrance,California,145182.0,145438.0,0.18,20.5,53.1,7180.0,2770.0,33°50′06″N 118°20′29″W,"https://en.wikipedia.org/wiki/Torrance,_California",City council,
181,Bridgeport,Connecticut,144900.0,144229.0,0.47,16.1,41.7,9064.0,3500.0,41°11′15″N 73°11′45″W,"https://en.wikipedia.org/wiki/Bridgeport,_Connecticut",Joe Ganim,
182,McAllen,Texas,143433.0,129877.0,10.44,58.4,151.3,2435.0,940.0,26°13′56″N 98°14′47″W,"https://en.wikipedia.org/wiki/McAllen,_Texas",City Council,
